txtTitolo,StottoTitolo,StottoTitolo2,StottoTitolo3
La sintesi degli scambi con l’estero dell’agroalimentare,Paese/area: Mondo,Periodo riferimento: novembre 2024,Unità di misura: valore

Gruppo_Ismea1_Cod,Textbox31,Textbox3,Import_in_valore,Textbox4,Export_in_valore,Textbox5,Saldo,Textbox32,Textbox34,exportMesePrecedente,Textbox10,Textbox24,TotaleSaldo,Textbox35,Textbox1
Ortaggi freschi e trasformati,NOVEMBRE 2024,Mio €,"556,7",Mio €,"381,1",Mio €,"175,6",var. vs anno prec.,"-3,8","9,8","6.055,6","5.849,4","206,2","3,0","7,2"
Frutta fresca e trasformata,NOVEMBRE 2024,Mio €,"600,4",Mio €,"469,3",Mio €,"131,1",var. vs anno prec.,"2,5","7,3","6.055,6","5.849,4","206,2","3,0","7,2"
Oli e grassi,NOVEMBRE 2024,Mio €,"306,3",Mio €,"521,3",Mio €,"-215,0",var. vs anno prec.,"6,2","38,7","6.055,6","5.849,4","206,2","3,0","7,2"
Vino e mosti,NOVEMBRE 2024,Mio €,"775,3",Mio €,"72,2",Mio €,"703,1",var. vs anno prec.,"2,5","0,1","6.055,6","5.849,4","206,2","3,0","7,2"
Animali e carni,NOVEMBRE 2024,Mio €,"427,1",Mio €,"830,7",Mio €,"-403,6",var. vs anno prec.,"14,1","10,7","6.055,6","5.849,4","206,2","3,0","7,2"
Latte e derivati,NOVEMBRE 2024,Mio €,"497,2",Mio €,"454,0",Mio €,"43,1",var. vs anno prec.,"9,8","14,7","6.055,6","5.849,4","206,2","3,0","7,2"
"Cereali, riso e derivati",NOVEMBRE 2024,Mio €,"987,6",Mio €,"718,5",Mio €,"269,2",var. vs anno prec.,"0,0","8,6","6.055,6","5.849,4","206,2","3,0","7,2"
Colture industriali,NOVEMBRE 2024,Mio €,"181,3",Mio €,"494,4",Mio €,"-313,1",var. vs anno prec.,"-19,3","-7,6","6.055,6","5.849,4","206,2","3,0","7,2"
Foraggere,NOVEMBRE 2024,Mio €,"10,1",Mio €,"7,9",Mio €,"2,3",var. vs anno prec.,"-50,5","9,1","6.055,6","5.849,4","206,2","3,0","7,2"
Florovivaismo,NOVEMBRE 2024,Mio €,"86,4",Mio €,"77,8",Mio €,"8,5",var. vs anno prec.,"14,9","40,9","6.055,6","5.849,4","206,2","3,0","7,2"
Ittico,NOVEMBRE 2024,Mio €,"88,6",Mio €,"671,0",Mio €,"-582,3",var. vs anno prec.,"6,0","9,5","6.055,6","5.849,4","206,2","3,0","7,2"
Altre bevande,NOVEMBRE 2024,Mio €,"330,3",Mio €,"148,9",Mio €,"181,4",var. vs anno prec.,"0,7","-26,3","6.055,6","5.849,4","206,2","3,0","7,2"
Animali non domestici (Selvaggina),NOVEMBRE 2024,Mio €,"6,7",Mio €,"23,0",Mio €,"-16,3",var. vs anno prec.,"4,1","28,1","6.055,6","5.849,4","206,2","3,0","7,2"
Prodotti agroalimentari diversi,NOVEMBRE 2024,Mio €,"1.201,6",Mio €,"979,3",Mio €,"222,3",var. vs anno prec.,"7,8","-0,9","6.055,6","5.849,4","206,2","3,0","7,2"
Animali non domestici (Insetti),NOVEMBRE 2024,Mio €,-,Mio €,-,Mio €,-,var. vs anno prec.,-,-,"6.055,6","5.849,4","206,2","3,0","7,2"

Saldo in valore_label,Saldo in valore_ChartSaldi_CategoryGroup_label,Saldo in valore_ChartSaldi_CategoryGroup_Value_Y
Saldo in valore,Ittico,-582.334656
Saldo in valore,Animali e carni,-403.632208
Saldo in valore,Colture industriali,-313.142066
Saldo in valore,Oli e grassi,-215.001542
Saldo in valore,Prodotti di origine animale o vegetale non alimentari,-136.58391
Saldo in valore,Animali non domestici (Selvaggina),-16.329788
Saldo in valore,Animali non domestici (Insetti),0.00019
Saldo in valore,Foraggere,2.288769
Saldo in valore,Florovivaismo,8.525302
Saldo in valore,Latte e derivati,43.141047
Saldo in valore,Frutta fresca e trasformata,131.087443
Saldo in valore,Ortaggi freschi e trasformati,175.578292
Saldo in valore,Altre bevande,181.427333
Saldo in valore,Prodotti agroalimentari diversi,222.262943
Saldo in valore,"Cereali, riso e derivati",269.192342
Saldo in valore,Vino e mosti,703.0883

