txtTitolo,StottoTitolo,StottoTitolo2,StottoTitolo3
La sintesi degli scambi con l’estero dell’agroalimentare,Paese/area: Mondo,Periodo riferimento: maggio 2024,Unità di misura: valore

Gruppo_Ismea1_Cod,Textbox31,Textbox3,Import_in_valore,Textbox4,Export_in_valore,Textbox5,Saldo,Textbox32,Textbox34,exportMesePrecedente,Textbox10,Textbox24,TotaleSaldo,Textbox35,Textbox1
Ortaggi freschi e trasformati,MAGGIO 2024,Mio €,"554,3",Mio €,"376,1",Mio €,"178,2",var. vs anno prec.,"-1,3","5,8","5.899,9","6.023,1","-123,2","5,4","7,7"
Frutta fresca e trasformata,MAGGIO 2024,Mio €,"398,6",Mio €,"494,3",Mio €,"-95,7",var. vs anno prec.,"11,5","7,4","5.899,9","6.023,1","-123,2","5,4","7,7"
Oli e grassi,MAGGIO 2024,Mio €,"371,9",Mio €,"570,7",Mio €,"-198,8",var. vs anno prec.,"39,7","20,3","5.899,9","6.023,1","-123,2","5,4","7,7"
Vino e mosti,MAGGIO 2024,Mio €,"704,3",Mio €,"52,6",Mio €,"651,7",var. vs anno prec.,"-0,8","29,1","5.899,9","6.023,1","-123,2","5,4","7,7"
Animali e carni,MAGGIO 2024,Mio €,"406,0",Mio €,"808,7",Mio €,"-402,6",var. vs anno prec.,"6,3","8,0","5.899,9","6.023,1","-123,2","5,4","7,7"
Latte e derivati,MAGGIO 2024,Mio €,"524,4",Mio €,"448,5",Mio €,"75,9",var. vs anno prec.,"5,4","6,0","5.899,9","6.023,1","-123,2","5,4","7,7"
"Cereali, riso e derivati",MAGGIO 2024,Mio €,"946,5",Mio €,"681,9",Mio €,"264,6",var. vs anno prec.,"4,9","0,1","5.899,9","6.023,1","-123,2","5,4","7,7"
Colture industriali,MAGGIO 2024,Mio €,"248,8",Mio €,"507,1",Mio €,"-258,3",var. vs anno prec.,"-6,8","7,8","5.899,9","6.023,1","-123,2","5,4","7,7"
Foraggere,MAGGIO 2024,Mio €,"18,1",Mio €,"9,3",Mio €,"8,8",var. vs anno prec.,"6,0","6,5","5.899,9","6.023,1","-123,2","5,4","7,7"
Florovivaismo,MAGGIO 2024,Mio €,"112,1",Mio €,"74,6",Mio €,"37,5",var. vs anno prec.,"-8,3","22,1","5.899,9","6.023,1","-123,2","5,4","7,7"
Ittico,MAGGIO 2024,Mio €,"100,3",Mio €,"737,7",Mio €,"-637,3",var. vs anno prec.,"8,9","7,4","5.899,9","6.023,1","-123,2","5,4","7,7"
Altre bevande,MAGGIO 2024,Mio €,"396,4",Mio €,"180,3",Mio €,"216,2",var. vs anno prec.,"-0,3","-19,3","5.899,9","6.023,1","-123,2","5,4","7,7"
Animali non domestici (Selvaggina),MAGGIO 2024,Mio €,"7,4",Mio €,"18,2",Mio €,"-10,7",var. vs anno prec.,"-12,6","8,5","5.899,9","6.023,1","-123,2","5,4","7,7"
Prodotti agroalimentari diversi,MAGGIO 2024,Mio €,"1.110,7",Mio €,"1.063,3",Mio €,"47,4",var. vs anno prec.,"9,1","12,5","5.899,9","6.023,1","-123,2","5,4","7,7"
Animali non domestici (Insetti),MAGGIO 2024,Mio €,-,Mio €,-,Mio €,-,var. vs anno prec.,-,-,"5.899,9","6.023,1","-123,2","5,4","7,7"

Saldo in valore_label,Saldo in valore_ChartSaldi_CategoryGroup_label,Saldo in valore_ChartSaldi_CategoryGroup_Value_Y
Saldo in valore,Ittico,-637.33681
Saldo in valore,Animali e carni,-402.64402
Saldo in valore,Colture industriali,-258.258625
Saldo in valore,Oli e grassi,-198.820252
Saldo in valore,Prodotti di origine animale o vegetale non alimentari,-127.4676
Saldo in valore,Frutta fresca e trasformata,-95.697493
Saldo in valore,Animali non domestici (Selvaggina),-10.741995
Saldo in valore,Foraggere,8.753862
Saldo in valore,Florovivaismo,37.473669
Saldo in valore,Prodotti agroalimentari diversi,47.436771
Saldo in valore,Latte e derivati,75.947019
Saldo in valore,Ortaggi freschi e trasformati,178.169828
Saldo in valore,Altre bevande,216.161938
Saldo in valore,"Cereali, riso e derivati",264.625552
Saldo in valore,Vino e mosti,651.718982

