SottoTitolo2,SottoTitolo3
Periodo riferimento: 2024 - Base dell’Indice 2010=100,"Macro categoria: coltivazioni,prodotti zootecnici - Categoria: cereali e derivati,colture industriali,frutta fresca, a guscio e agrumi freschi,olii e grassi vegetali,ortaggi legumi e patate freschi,semi oleosi,vini - Gruppo: frumento,granturco e cereali minori,riso,barbabietola,tabacchi,agrumi,altra frutta fresca,frutta a guscio,frutta a nocciolo,pomacee,uva da tavola,olii di oliva di pressione,cavoli e cavolfiori,frutti ortivi freschi,insalate,legumi freschi,ortaggi a foglia e stelo,patate,radici e bulbi,oleaginose,vini comuni,vini doc-docg,vini igt - Prodotto: frumento duro,frumento tenero,avena,mais,orzo,risone,barbabietola da zucchero,tabacco greggio, non lavorato,arance,clementine,limoni,mandarini,actinidia,loti,mandorle in guscio,nocciole,noci,pistacchi,albicocche,ciliegie,nettarine,pesche,susine,mele da tavola,pere da tavola,uva da tavola,olio extravergine di oliva,olio lampante di oliva,olio vergine di oliva,cavolfiori,angurie,cetrioli,cetrioli serra,fragole,melanzane,melanzane serra,meloni,peperoni,peperoni serra,pomodori,pomodori serra,zucchine,zucchine serra,indivia,lattuga,radicchio,fagiolini,fagiolini serra,asparagi,carciofi,finocchi,sedani,spinaci,patate comuni,patate novelle,agli,carote,cipolle,soia,vini comuni bianchi,vini comuni rossi e rosati,vini doc-docg bianchi,vini doc-docg rossi e rosati,vini igt bianchi,vini igt rossi e rosati"

Prodotto,Mese,PrezzoMedioPerUdM8,Varieta,PrezzoMedioPerUdM9
Actinidia,gen,"237,96",Hayward,"237,96"
Actinidia,feb,"238,47",Hayward,"238,47"
Actinidia,mar,"239,07",Hayward,"239,07"
Actinidia,apr,"245,00",Hayward,"245,00"
Actinidia,mag,"249,71",Hayward,"249,71"
Actinidia,giu,n.d.,Hayward,n.d.
Actinidia,lug,n.d.,Hayward,n.d.
Actinidia,ago,n.d.,Hayward,n.d.
Actinidia,set,n.d.,Hayward,n.d.
Actinidia,ott,n.d.,Hayward,n.d.
Actinidia,nov,"219,80",Hayward,"219,80"
Actinidia,dic,"244,50",Hayward,"244,50"
Agli,gen,"112,78",-,"112,78"
Agli,feb,"125,63",-,"125,63"
Agli,mar,n.d.,-,n.d.
Agli,apr,n.d.,-,n.d.
Agli,mag,"121,52",-,"121,52"
Agli,giu,"132,26",-,"132,26"
Agli,lug,"111,29",-,"111,29"
Agli,ago,"121,18",-,"121,18"
Agli,set,"137,68",-,"137,68"
Agli,ott,"143,02",-,"143,02"
Agli,nov,"147,36",-,"147,36"
Agli,dic,"144,26",-,"144,26"
Albicocche,gen,n.d.,-,n.d.
Albicocche,feb,n.d.,-,n.d.
Albicocche,mar,n.d.,-,n.d.
Albicocche,apr,n.d.,-,n.d.
Albicocche,mag,"174,77",-,"174,77"
Albicocche,giu,"112,02",-,"112,02"
Albicocche,lug,"93,10",-,"93,10"
Albicocche,ago,n.d.,-,n.d.
Albicocche,set,n.d.,-,n.d.
Albicocche,ott,n.d.,-,n.d.
Albicocche,nov,n.d.,-,n.d.
Albicocche,dic,n.d.,-,n.d.
Angurie,gen,n.d.,Oblunghe,n.d.
Angurie,feb,n.d.,Oblunghe,n.d.
Angurie,mar,n.d.,Oblunghe,n.d.
Angurie,apr,n.d.,Oblunghe,n.d.
Angurie,mag,"251,34",Oblunghe,"251,34"
Angurie,giu,"204,67",Oblunghe,"203,21"
Angurie,lug,"184,56",Oblunghe,"187,34"
Angurie,ago,"134,64",Oblunghe,"134,88"
Angurie,set,n.d.,Oblunghe,n.d.
Angurie,ott,n.d.,Oblunghe,n.d.
Angurie,nov,n.d.,Oblunghe,n.d.
Angurie,dic,n.d.,Oblunghe,n.d.
Angurie,gen,n.d.,Sferiche,n.d.
Angurie,feb,n.d.,Sferiche,n.d.
Angurie,mar,n.d.,Sferiche,n.d.
Angurie,apr,n.d.,Sferiche,n.d.
Angurie,mag,"251,34",Sferiche,"251,34"
Angurie,giu,"204,67",Sferiche,"210,49"
Angurie,lug,"184,56",Sferiche,"173,71"
Angurie,ago,"134,64",Sferiche,"133,68"
Angurie,set,n.d.,Sferiche,n.d.
Angurie,ott,n.d.,Sferiche,n.d.
Angurie,nov,n.d.,Sferiche,n.d.
Angurie,dic,n.d.,Sferiche,n.d.
Arance,gen,"227,84",Moro,"280,85"
Arance,feb,"200,69",Moro,"238,61"
Arance,mar,"193,49",Moro,"193,87"
Arance,apr,n.d.,Moro,n.d.
Arance,mag,n.d.,Moro,n.d.
Arance,giu,n.d.,Moro,n.d.
Arance,lug,n.d.,Moro,n.d.
Arance,ago,n.d.,Moro,n.d.
Arance,set,n.d.,Moro,n.d.
Arance,ott,n.d.,Moro,n.d.
Arance,nov,"223,06",Moro,"274,64"
