txtTitolo,SottoTitolo2
Indice dei prezzi all’origine - sintesi dell’andamento mensile 2024,Base dell’Indice 2010=100

Macro_Categoria,Mese,PrezzoMedioPerUdM18,Categoria,PrezzoMedioPerUdM19,Gruppo,PrezzoMedioPerUdM20,Prodotto,PrezzoMedioPerUdM21,Varieta,PrezzoMedioPerUdM22,PrezzoMedioPerUdM23
Coltivazioni,gen,"205,61",Cereali E Derivati,"158,75",Frumento,"179,94",Frumento Duro,"196,31",Buono Mercantile,"196,62","175,86"
Coltivazioni,feb,"194,26",Cereali E Derivati,"153,09",Frumento,"174,39",Frumento Duro,"190,30",Buono Mercantile,"190,59","168,85"
Coltivazioni,mar,"178,44",Cereali E Derivati,"143,77",Frumento,"155,25",Frumento Duro,"166,23",Buono Mercantile,"166,12","162,03"
Coltivazioni,apr,"178,95",Cereali E Derivati,"146,28",Frumento,"158,10",Frumento Duro,"170,06",Buono Mercantile,"169,25","161,64"
Coltivazioni,mag,"180,50",Cereali E Derivati,"152,61",Frumento,"162,70",Frumento Duro,"174,94",Buono Mercantile,"174,30","161,45"
Coltivazioni,giu,"170,84",Cereali E Derivati,"154,48",Frumento,"161,03",Frumento Duro,"173,90",Buono Mercantile,"172,64","157,67"
Coltivazioni,lug,"178,53",Cereali E Derivati,"147,86",Frumento,"154,06",Frumento Duro,"166,54",Buono Mercantile,"166,93","163,05"
Coltivazioni,ago,"185,37",Cereali E Derivati,"151,02",Frumento,"150,28",Frumento Duro,"160,57",Buono Mercantile,"159,32","168,13"
Coltivazioni,set,"208,60",Cereali E Derivati,"146,62",Frumento,"149,47",Frumento Duro,"158,96",Buono Mercantile,"157,23","179,66"
Coltivazioni,ott,"212,60",Cereali E Derivati,"148,62",Frumento,"152,59",Frumento Duro,"161,47",Buono Mercantile,"159,02","184,97"
Coltivazioni,nov,"195,38",Cereali E Derivati,"149,20",Frumento,"152,59",Frumento Duro,"160,74",Buono Mercantile,"158,06","178,32"
Coltivazioni,dic,"193,33",Cereali E Derivati,"150,40",Frumento,"152,91",Frumento Duro,"160,04",Buono Mercantile,"157,48","177,47"
Coltivazioni,gen,"205,61",Cereali E Derivati,"158,75",Frumento,"179,94",Frumento Duro,"196,31",Fino,"196,58","175,86"
Coltivazioni,feb,"194,26",Cereali E Derivati,"153,09",Frumento,"174,39",Frumento Duro,"190,30",Fino,"190,39","168,85"
Coltivazioni,mar,"178,44",Cereali E Derivati,"143,77",Frumento,"155,25",Frumento Duro,"166,23",Fino,"167,24","162,03"
Coltivazioni,apr,"178,95",Cereali E Derivati,"146,28",Frumento,"158,10",Frumento Duro,"170,06",Fino,"172,58","161,64"
Coltivazioni,mag,"180,50",Cereali E Derivati,"152,61",Frumento,"162,70",Frumento Duro,"174,94",Fino,"177,32","161,45"
Coltivazioni,giu,"170,84",Cereali E Derivati,"154,48",Frumento,"161,03",Frumento Duro,"173,90",Fino,"175,94","157,67"
Coltivazioni,lug,"178,53",Cereali E Derivati,"147,86",Frumento,"154,06",Frumento Duro,"166,54",Fino,"165,25","163,05"
Coltivazioni,ago,"185,37",Cereali E Derivati,"151,02",Frumento,"150,28",Frumento Duro,"160,57",Fino,"162,55","168,13"
Coltivazioni,set,"208,60",Cereali E Derivati,"146,62",Frumento,"149,47",Frumento Duro,"158,96",Fino,"161,79","179,66"
Coltivazioni,ott,"212,60",Cereali E Derivati,"148,62",Frumento,"152,59",Frumento Duro,"161,47",Fino,"165,67","184,97"
Coltivazioni,nov,"195,38",Cereali E Derivati,"149,20",Frumento,"152,59",Frumento Duro,"160,74",Fino,"165,42","178,32"
Coltivazioni,dic,"193,33",Cereali E Derivati,"150,40",Frumento,"152,91",Frumento Duro,"160,04",Fino,"164,62","177,47"
Coltivazioni,gen,"205,61",Cereali E Derivati,"158,75",Frumento,"179,94",Frumento Duro,"196,31",Mercantile,"189,54","175,86"
Coltivazioni,feb,"194,26",Cereali E Derivati,"153,09",Frumento,"174,39",Frumento Duro,"190,30",Mercantile,"185,06","168,85"
Coltivazioni,mar,"178,44",Cereali E Derivati,"143,77",Frumento,"155,25",Frumento Duro,"166,23",Mercantile,"161,35","162,03"
Coltivazioni,apr,"178,95",Cereali E Derivati,"146,28",Frumento,"158,10",Frumento Duro,"170,06",Mercantile,"166,07","161,64"
Coltivazioni,mag,"180,50",Cereali E Derivati,"152,61",Frumento,"162,70",Frumento Duro,"174,94",Mercantile,"169,13","161,45"
Coltivazioni,giu,"170,84",Cereali E Derivati,"154,48",Frumento,"161,03",Frumento Duro,"173,90",Mercantile,"177,22","157,67"
Coltivazioni,lug,"178,53",Cereali E Derivati,"147,86",Frumento,"154,06",Frumento Duro,"166,54",Mercantile,"171,08","163,05"
Coltivazioni,ago,"185,37",Cereali E Derivati,"151,02",Frumento,"150,28",Frumento Duro,"160,57",Mercantile,"169,16","168,13"
Coltivazioni,set,"208,60",Cereali E Derivati,"146,62",Frumento,"149,47",Frumento Duro,"158,96",Mercantile,"169,88","179,66"
Coltivazioni,ott,"212,60",Cereali E Derivati,"148,62",Frumento,"152,59",Frumento Duro,"161,47",Mercantile,"174,59","184,97"
Coltivazioni,nov,"195,38",Cereali E Derivati,"149,20",Frumento,"152,59",Frumento Duro,"160,74",Mercantile,"174,22","178,32"
Coltivazioni,dic,"193,33",Cereali E Derivati,"150,40",Frumento,"152,91",Frumento Duro,"160,04",Mercantile,"172,05","177,47"
Coltivazioni,gen,"205,61",Cereali E Derivati,"158,75",Frumento,"179,94",Frumento Tenero,"135,32",Buono Mercantile,"127,17","175,86"
Coltivazioni,feb,"194,26",Cereali E Derivati,"153,09",Frumento,"174,39",Frumento Tenero,"131,04",Buono Mercantile,"122,42","168,85"
Coltivazioni,mar,"178,44",Cereali E Derivati,"143,77",Frumento,"155,25",Frumento Tenero,"125,32",Buono Mercantile,"115,53","162,03"
Coltivazioni,apr,"178,95",Cereali E Derivati,"146,28",Frumento,"158,10",Frumento Tenero,"124,43",Buono Mercantile,"114,92","161,64"
