FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,SOLD_PRODUCTS,Prodotti venduti,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
A,Annuale,IT,Italia,78,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - medie annue,CEREA,Cereali,2020,100,,
A,Annuale,IT,Italia,78,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - medie annue,CEREA,Cereali,2021,132,,
A,Annuale,IT,Italia,78,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - medie annue,CEREA,Cereali,2022,186.7,,
A,Annuale,IT,Italia,78,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - medie annue,CEREA,Cereali,2023,145.5,,
A,Annuale,IT,Italia,78,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - medie annue,CEREA,Cereali,2024,125.5,,
A,Annuale,IT,Italia,78,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - medie annue,CROPUT,Prodotti vegetali,2020,100,,
A,Annuale,IT,Italia,78,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - medie annue,CROPUT,Prodotti vegetali,2021,109.6,,
A,Annuale,IT,Italia,78,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - medie annue,CROPUT,Prodotti vegetali,2022,129.5,,
A,Annuale,IT,Italia,78,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - medie annue,CROPUT,Prodotti vegetali,2023,128.6,,
A,Annuale,IT,Italia,78,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - medie annue,CROPUT,Prodotti vegetali,2024,130.4,,
A,Annuale,IT,Italia,78,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - medie annue,CROPUTE,Prodotti vegetali (esclusi frutta e ortaggi),2020,100,,
A,Annuale,IT,Italia,78,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - medie annue,CROPUTE,Prodotti vegetali (esclusi frutta e ortaggi),2021,111.6,,
A,Annuale,IT,Italia,78,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - medie annue,CROPUTE,Prodotti vegetali (esclusi frutta e ortaggi),2022,136.3,,
A,Annuale,IT,Italia,78,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - medie annue,CROPUTE,Prodotti vegetali (esclusi frutta e ortaggi),2023,127.7,,
A,Annuale,IT,Italia,78,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - medie annue,CROPUTE,Prodotti vegetali (esclusi frutta e ortaggi),2024,128,,
A,Annuale,IT,Italia,78,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - medie annue,WHEATSPEL,Frumento,2020,100,,
A,Annuale,IT,Italia,78,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - medie annue,WHEATSPEL,Frumento,2021,131.1,,
A,Annuale,IT,Italia,78,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - medie annue,WHEATSPEL,Frumento,2022,180.1,,
