FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,PURCHASE_PRODUCTS,Prodotti acquistati,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,GOODSSERV,Consumi intermedi,2020,100,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,GOODSSERV,Consumi intermedi,2021,111,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,GOODSSERV,Consumi intermedi,2022,143.1,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,GOODSSERV,Consumi intermedi,2023,137.6,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,GOODSSERV,Consumi intermedi,2024,129.1,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,SEEDS,Sementi,2020,100,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,SEEDS,Sementi,2021,104.9,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,SEEDS,Sementi,2022,120.6,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,SEEDS,Sementi,2023,133.5,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,SEEDS,Sementi,2024,139.3,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,CEREA,Cereali,2020,100,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,CEREA,Cereali,2021,105.2,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,CEREA,Cereali,2022,124.6,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,CEREA,Cereali,2023,135,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,CEREA,Cereali,2024,135.5,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,ROOTS,Piante sarchiate,2020,100,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,ROOTS,Piante sarchiate,2021,103.7,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,ROOTS,Piante sarchiate,2022,119.9,,
A,Annuale,IT,Italia,77,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - medie annue,ROOTS,Piante sarchiate,2023,128.1,,
