FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,PURCHASE_PRODUCTS,Prodotti acquistati,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
M,Mensile,IT,Italia,75,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - dati mensili,GOODSSERV,Consumi intermedi,2020-01,101.1,,
M,Mensile,IT,Italia,75,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - dati mensili,GOODSSERV,Consumi intermedi,2020-02,100.5,,
M,Mensile,IT,Italia,75,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - dati mensili,GOODSSERV,Consumi intermedi,2020-03,100,,
M,Mensile,IT,Italia,75,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - dati mensili,GOODSSERV,Consumi intermedi,2020-04,98.9,,
M,Mensile,IT,Italia,75,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - dati mensili,GOODSSERV,Consumi intermedi,2020-05,98.4,,
M,Mensile,IT,Italia,75,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - dati mensili,GOODSSERV,Consumi intermedi,2020-06,99,,
M,Mensile,IT,Italia,75,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - dati mensili,GOODSSERV,Consumi intermedi,2020-07,99.3,,
M,Mensile,IT,Italia,75,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - dati mensili,GOODSSERV,Consumi intermedi,2020-08,99.6,,
M,Mensile,IT,Italia,75,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - dati mensili,GOODSSERV,Consumi intermedi,2020-09,99.4,,
M,Mensile,IT,Italia,75,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - dati mensili,GOODSSERV,Consumi intermedi,2020-10,100.5,,
M,Mensile,IT,Italia,75,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - dati mensili,GOODSSERV,Consumi intermedi,2020-11,101.3,,
M,Mensile,IT,Italia,75,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - dati mensili,GOODSSERV,Consumi intermedi,2020-12,102,,
M,Mensile,IT,Italia,75,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - dati mensili,GOODSSERV,Consumi intermedi,2021-01,104.2,,
M,Mensile,IT,Italia,75,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - dati mensili,GOODSSERV,Consumi intermedi,2021-02,106.1,,
M,Mensile,IT,Italia,75,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - dati mensili,GOODSSERV,Consumi intermedi,2021-03,107.5,,
M,Mensile,IT,Italia,75,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - dati mensili,GOODSSERV,Consumi intermedi,2021-04,108.3,,
M,Mensile,IT,Italia,75,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - dati mensili,GOODSSERV,Consumi intermedi,2021-05,109.5,,
M,Mensile,IT,Italia,75,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - dati mensili,GOODSSERV,Consumi intermedi,2021-06,109.4,,
M,Mensile,IT,Italia,75,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - dati mensili,GOODSSERV,Consumi intermedi,2021-07,109.7,,
M,Mensile,IT,Italia,75,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - dati mensili,GOODSSERV,Consumi intermedi,2021-08,110.5,,
M,Mensile,IT,Italia,75,Indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2020=100) - dati mensili,GOODSSERV,Consumi intermedi,2021-09,112.1,,
