SottoTitolo2,SottoTitolo3
Periodo riferimento: 2024,Macro categoria: coltivazioni - Categoria: olii e grassi vegetali - Gruppo: olii di oliva di pressione - Prodotto: tutti

Prodotto,UdMKey,Mese,SettimanaPerMese,PrezzoMedioPerUdM13,Textbox291,Piazza__Comune,UdMKey6,PrezzoMedioPerUdM14,Textbox293,Varieta,UdMKey7,PrezzoMedioPerUdM15,Textbox292,Varieta1,UdMKey8,PrezzoMedioPerUdM16,Textbox294,Varieta2,UdMKey9,PrezzoMedioPerUdM17,Textbox295
Olio Dop,,gen,I,,,VITERBO,€/kg,"9,60","9,76",Canino,€/kg,"9,60","9,76",,,,,,,,
Olio Dop,,gen,II,,,VITERBO,€/kg,"9,60","9,76",Canino,€/kg,"9,60","9,76",,,,,,,,
Olio Dop,,gen,III,,,VITERBO,€/kg,"9,60","9,76",Canino,€/kg,"9,60","9,76",,,,,,,,
Olio Dop,,gen,IV,,,VITERBO,€/kg,"9,60","9,76",Canino,€/kg,"9,60","9,76",,,,,,,,
Olio Dop,,feb,I,,,VITERBO,€/kg,"9,60","9,76",Canino,€/kg,"9,60","9,76",,,,,,,,
Olio Dop,,feb,II,,,VITERBO,€/kg,"9,60","9,76",Canino,€/kg,"9,60","9,76",,,,,,,,
Olio Dop,,feb,III,,,VITERBO,€/kg,"9,60","9,76",Canino,€/kg,"9,60","9,76",,,,,,,,
Olio Dop,,feb,IV,,,VITERBO,€/kg,"9,60","9,76",Canino,€/kg,"9,60","9,76",,,,,,,,
Olio Dop,,feb,V,,,VITERBO,€/kg,"9,60","9,76",Canino,€/kg,"9,60","9,76",,,,,,,,
Olio Dop,,mar,I,,,VITERBO,€/kg,"9,60","9,76",Canino,€/kg,"9,60","9,76",,,,,,,,
Olio Dop,,mar,II,,,VITERBO,€/kg,"9,60","9,76",Canino,€/kg,"9,60","9,76",,,,,,,,
Olio Dop,,mar,III,,,VITERBO,€/kg,"9,60","9,76",Canino,€/kg,"9,60","9,76",,,,,,,,
Olio Dop,,mar,IV,,,VITERBO,€/kg,"9,60","9,76",Canino,€/kg,"9,60","9,76",,,,,,,,
Olio Dop,,apr,I,,,VITERBO,€/kg,"9,60","9,76",Canino,€/kg,"9,60","9,76",,,,,,,,
Olio Dop,,apr,II,,,VITERBO,€/kg,"9,60","9,76",Canino,€/kg,"9,60","9,76",,,,,,,,
Olio Dop,,apr,III,,,VITERBO,€/kg,"9,60","9,76",Canino,€/kg,"9,60","9,76",,,,,,,,
Olio Dop,,apr,IV,,,VITERBO,€/kg,"9,60","9,76",Canino,€/kg,"9,60","9,76",,,,,,,,
Olio Dop,,mag,I,,,VITERBO,€/kg,"9,60","9,76",Canino,€/kg,"9,60","9,76",,,,,,,,
Olio Dop,,mag,II,,,VITERBO,€/kg,"9,60","9,76",Canino,€/kg,"9,60","9,76",,,,,,,,
Olio Dop,,mag,III,,,VITERBO,€/kg,"9,60","9,76",Canino,€/kg,"9,60","9,76",,,,,,,,
Olio Dop,,mag,IV,,,VITERBO,€/kg,"9,60","9,76",Canino,€/kg,"9,60","9,76",,,,,,,,
Olio Dop,,mag,V,,,VITERBO,€/kg,"9,60","9,76",Canino,€/kg,"9,60","9,76",,,,,,,,
Olio Dop,,giu,I,,,VITERBO,€/kg,"9,60","9,76",Canino,€/kg,"9,60","9,76",,,,,,,,
Olio Dop,,giu,II,,,VITERBO,€/kg,"9,60","9,76",Canino,€/kg,"9,60","9,76",,,,,,,,
Olio Dop,,giu,III,,,VITERBO,€/kg,"9,60","9,76",Canino,€/kg,"9,60","9,76",,,,,,,,
Olio Dop,,giu,IV,,,VITERBO,€/kg,"9,60","9,76",Canino,€/kg,"9,60","9,76",,,,,,,,
Olio Dop,,lug,I,,,VITERBO,€/kg,"9,60","9,76",Canino,€/kg,"9,60","9,76",,,,,,,,
Olio Dop,,lug,II,,,VITERBO,€/kg,"9,60","9,76",Canino,€/kg,"9,60","9,76",,,,,,,,
Olio Dop,,lug,III,,,VITERBO,€/kg,"9,60","9,76",Canino,€/kg,"9,60","9,76",,,,,,,,
Olio Dop,,lug,IV,,,VITERBO,€/kg,"9,60","9,76",Canino,€/kg,"9,60","9,76",,,,,,,,
Olio Dop,,ago,I,,,VITERBO,€/kg,"9,60","9,76",Canino,€/kg,"9,60","9,76",,,,,,,,
Olio Dop,,ago,II,,,VITERBO,€/kg,"9,60","9,76",Canino,€/kg,"9,60","9,76",,,,,,,,
Olio Dop,,ago,III,,,VITERBO,€/kg,"9,60","9,76",Canino,€/kg,"9,60","9,76",,,,,,,,
Olio Dop,,ago,IV,,,VITERBO,€/kg,"9,60","9,76",Canino,€/kg,"9,60","9,76",,,,,,,,
Olio Dop,,ago,V,,,VITERBO,€/kg,"9,60","9,76",Canino,€/kg,"9,60","9,76",,,,,,,,
Olio Dop,,set,I,,,VITERBO,€/kg,"9,60","9,76",Canino,€/kg,"9,60","9,76",,,,,,,,
Olio Dop,,set,II,,,VITERBO,€/kg,"9,60","9,76",Canino,€/kg,"9,60","9,76",,,,,,,,
Olio Dop,,set,III,,,VITERBO,€/kg,"9,60","9,76",Canino,€/kg,"9,60","9,76",,,,,,,,
Olio Dop,,set,IV,,,VITERBO,€/kg,"9,60","9,76",Canino,€/kg,"9,60","9,76",,,,,,,,
Olio Dop,,ott,I,,,VITERBO,€/kg,"9,60","9,76",Canino,€/kg,"9,60","9,76",,,,,,,,
Olio Dop,,ott,II,,,VITERBO,€/kg,"9,60","9,76",Canino,€/kg,"9,60","9,76",,,,,,,,
Olio Dop,,ott,III,,,VITERBO,€/kg,"9,60","9,76",Canino,€/kg,"9,60","9,76",,,,,,,,
Olio Dop,,ott,IV,,,VITERBO,€/kg,"9,60","9,76",Canino,€/kg,"9,60","9,76",,,,,,,,
