SottoTitolo2,StottoTitolo3
Periodo riferimento: 2024,Macro categoria: coltivazioni - Categoria: olii e grassi vegetali - Gruppo: olii di oliva di pressione - Prodotto: tutti

Piazza_Comune,Mese,SettimanaPerMese,Prodotto,UdMKey6,PrezzoMedioPerUdM14,Textbox6,Varieta,UdMKey7,PrezzoMedioPerUdM15,Textbox9,Varieta1,UdMKey8,PrezzoMedioPerUdM16,Textbox7
AGRIGENTO,gen,I, Olio Extravergine Di Oliva franco azienda,€/kg,"8,80","9,10",-,€/kg,"8,80","9,10",,,,
AGRIGENTO,gen,II, Olio Extravergine Di Oliva franco azienda,€/kg,"8,80","9,10",-,€/kg,"8,80","9,10",,,,
AGRIGENTO,gen,III, Olio Extravergine Di Oliva franco azienda,€/kg,"8,80","9,10",-,€/kg,"8,80","9,10",,,,
AGRIGENTO,gen,IV, Olio Extravergine Di Oliva franco azienda,€/kg,"8,80","9,10",-,€/kg,"8,80","9,10",,,,
AGRIGENTO,feb,I, Olio Extravergine Di Oliva franco azienda,€/kg,"8,80","9,10",-,€/kg,"8,80","9,10",,,,
AGRIGENTO,feb,II, Olio Extravergine Di Oliva franco azienda,€/kg,"8,80","9,10",-,€/kg,"8,80","9,10",,,,
AGRIGENTO,feb,III, Olio Extravergine Di Oliva franco azienda,€/kg,"8,80","9,10",-,€/kg,"8,80","9,10",,,,
AGRIGENTO,feb,IV, Olio Extravergine Di Oliva franco azienda,€/kg,"8,80","9,10",-,€/kg,"8,80","9,10",,,,
AGRIGENTO,feb,V, Olio Extravergine Di Oliva franco azienda,€/kg,"8,80","9,10",-,€/kg,"8,80","9,10",,,,
AGRIGENTO,mar,I, Olio Extravergine Di Oliva franco azienda,€/kg,"8,80","9,10",-,€/kg,"8,80","9,10",,,,
AGRIGENTO,mar,II, Olio Extravergine Di Oliva franco azienda,€/kg,"8,80","9,10",-,€/kg,"8,80","9,10",,,,
AGRIGENTO,mar,III, Olio Extravergine Di Oliva franco azienda,€/kg,"9,00","9,10",-,€/kg,"9,00","9,10",,,,
AGRIGENTO,mar,IV, Olio Extravergine Di Oliva franco azienda,€/kg,"9,00","9,10",-,€/kg,"9,00","9,10",,,,
AGRIGENTO,apr,I, Olio Extravergine Di Oliva franco azienda,€/kg,"9,00","9,10",-,€/kg,"9,00","9,10",,,,
AGRIGENTO,apr,II, Olio Extravergine Di Oliva franco azienda,€/kg,"9,00","9,10",-,€/kg,"9,00","9,10",,,,
AGRIGENTO,apr,III, Olio Extravergine Di Oliva franco azienda,€/kg,"9,00","9,10",-,€/kg,"9,00","9,10",,,,
AGRIGENTO,apr,IV, Olio Extravergine Di Oliva franco azienda,€/kg,"9,00","9,10",-,€/kg,"9,00","9,10",,,,
AGRIGENTO,mag,I, Olio Extravergine Di Oliva franco azienda,€/kg,"9,00","9,10",-,€/kg,"9,00","9,10",,,,
AGRIGENTO,mag,II, Olio Extravergine Di Oliva franco azienda,€/kg,"9,00","9,10",-,€/kg,"9,00","9,10",,,,
AGRIGENTO,mag,III, Olio Extravergine Di Oliva franco azienda,€/kg,"9,00","9,10",-,€/kg,"9,00","9,10",,,,
AGRIGENTO,mag,IV, Olio Extravergine Di Oliva franco azienda,€/kg,"9,00","9,10",-,€/kg,"9,00","9,10",,,,
AGRIGENTO,mag,V, Olio Extravergine Di Oliva franco azienda,€/kg,"9,00","9,10",-,€/kg,"9,00","9,10",,,,
AGRIGENTO,giu,I, Olio Extravergine Di Oliva franco azienda,€/kg,"9,00","9,10",-,€/kg,"9,00","9,10",,,,
AGRIGENTO,giu,II, Olio Extravergine Di Oliva franco azienda,€/kg,"9,00","9,10",-,€/kg,"9,00","9,10",,,,
AGRIGENTO,giu,III, Olio Extravergine Di Oliva franco azienda,€/kg,"9,00","9,10",-,€/kg,"9,00","9,10",,,,
AGRIGENTO,giu,IV, Olio Extravergine Di Oliva franco azienda,€/kg,"9,00","9,10",-,€/kg,"9,00","9,10",,,,
AGRIGENTO,lug,I, Olio Extravergine Di Oliva franco azienda,€/kg,"9,00","9,10",-,€/kg,"9,00","9,10",,,,
AGRIGENTO,lug,II, Olio Extravergine Di Oliva franco azienda,€/kg,"9,00","9,10",-,€/kg,"9,00","9,10",,,,
AGRIGENTO,lug,III, Olio Extravergine Di Oliva franco azienda,€/kg,"9,00","9,10",-,€/kg,"9,00","9,10",,,,
AGRIGENTO,lug,IV, Olio Extravergine Di Oliva franco azienda,€/kg,"9,00","9,10",-,€/kg,"9,00","9,10",,,,
AGRIGENTO,ago,I, Olio Extravergine Di Oliva franco azienda,€/kg,"9,00","9,10",-,€/kg,"9,00","9,10",,,,
AGRIGENTO,ago,II, Olio Extravergine Di Oliva franco azienda,€/kg,"9,00","9,10",-,€/kg,"9,00","9,10",,,,
AGRIGENTO,ago,III, Olio Extravergine Di Oliva franco azienda,€/kg,"9,00","9,10",-,€/kg,"9,00","9,10",,,,
AGRIGENTO,ago,IV, Olio Extravergine Di Oliva franco azienda,€/kg,"9,00","9,10",-,€/kg,"9,00","9,10",,,,
AGRIGENTO,ago,V, Olio Extravergine Di Oliva franco azienda,€/kg,"9,00","9,10",-,€/kg,"9,00","9,10",,,,
AGRIGENTO,set,I, Olio Extravergine Di Oliva franco azienda,€/kg,"9,00","9,10",-,€/kg,"9,00","9,10",,,,
AGRIGENTO,set,II, Olio Extravergine Di Oliva franco azienda,€/kg,"9,00","9,10",-,€/kg,"9,00","9,10",,,,
AGRIGENTO,set,III, Olio Extravergine Di Oliva franco azienda,€/kg,"9,00","9,10",-,€/kg,"9,00","9,10",,,,
AGRIGENTO,set,IV, Olio Extravergine Di Oliva franco azienda,€/kg,"9,00","9,10",-,€/kg,"9,00","9,10",,,,
