SottoTitolo2,StottoTitolo3
Periodo riferimento: 2024,Macro categoria: coltivazioni - Categoria: olii e grassi vegetali - Gruppo: olii di oliva di pressione - Prodotto: olio extravergine di oliva - Varieta': tutti

Prodotto,Textbox61,Mese,SettimanaPerMese,PrezzoMedioPerUdM13,Textbox287,Varieta,UdMKey5,PrezzoMedioPerUdM11,Textbox292,Piazza__Comune,UdMKey6,PrezzoMedioPerUdM15,Textbox295,Varieta1,UdMKey7,PrezzoMedioPerUdM14,Textbox294,Varieta2,UdMKey8,PrezzoMedioPerUdM12,Textbox293
Olio Extravergine Di Oliva,€/kg,gen,I,"9,41","9,32",-,€/kg,"9,41","9,32",AGRIGENTO,€/kg,"8,80","9,10",,,,,,,,
Olio Extravergine Di Oliva,€/kg,gen,II,"9,56","9,32",-,€/kg,"9,56","9,32",AGRIGENTO,€/kg,"8,80","9,10",,,,,,,,
Olio Extravergine Di Oliva,€/kg,gen,III,"9,60","9,32",-,€/kg,"9,60","9,32",AGRIGENTO,€/kg,"8,80","9,10",,,,,,,,
Olio Extravergine Di Oliva,€/kg,gen,IV,"9,61","9,32",-,€/kg,"9,61","9,32",AGRIGENTO,€/kg,"8,80","9,10",,,,,,,,
Olio Extravergine Di Oliva,€/kg,feb,I,"9,58","9,32",-,€/kg,"9,58","9,32",AGRIGENTO,€/kg,"8,80","9,10",,,,,,,,
Olio Extravergine Di Oliva,€/kg,feb,II,"9,54","9,32",-,€/kg,"9,54","9,32",AGRIGENTO,€/kg,"8,80","9,10",,,,,,,,
Olio Extravergine Di Oliva,€/kg,feb,III,"9,55","9,32",-,€/kg,"9,55","9,32",AGRIGENTO,€/kg,"8,80","9,10",,,,,,,,
Olio Extravergine Di Oliva,€/kg,feb,IV,"9,55","9,32",-,€/kg,"9,55","9,32",AGRIGENTO,€/kg,"8,80","9,10",,,,,,,,
Olio Extravergine Di Oliva,€/kg,feb,V,"9,55","9,32",-,€/kg,"9,55","9,32",AGRIGENTO,€/kg,"8,80","9,10",,,,,,,,
Olio Extravergine Di Oliva,€/kg,mar,I,"9,55","9,32",-,€/kg,"9,55","9,32",AGRIGENTO,€/kg,"8,80","9,10",,,,,,,,
Olio Extravergine Di Oliva,€/kg,mar,II,"9,55","9,32",-,€/kg,"9,55","9,32",AGRIGENTO,€/kg,"8,80","9,10",,,,,,,,
Olio Extravergine Di Oliva,€/kg,mar,III,"9,56","9,32",-,€/kg,"9,56","9,32",AGRIGENTO,€/kg,"9,00","9,10",,,,,,,,
Olio Extravergine Di Oliva,€/kg,mar,IV,"9,56","9,32",-,€/kg,"9,56","9,32",AGRIGENTO,€/kg,"9,00","9,10",,,,,,,,
Olio Extravergine Di Oliva,€/kg,apr,I,"9,53","9,32",-,€/kg,"9,53","9,32",AGRIGENTO,€/kg,"9,00","9,10",,,,,,,,
Olio Extravergine Di Oliva,€/kg,apr,II,"9,52","9,32",-,€/kg,"9,52","9,32",AGRIGENTO,€/kg,"9,00","9,10",,,,,,,,
Olio Extravergine Di Oliva,€/kg,apr,III,"9,39","9,32",-,€/kg,"9,39","9,32",AGRIGENTO,€/kg,"9,00","9,10",,,,,,,,
Olio Extravergine Di Oliva,€/kg,apr,IV,"9,39","9,32",-,€/kg,"9,39","9,32",AGRIGENTO,€/kg,"9,00","9,10",,,,,,,,
