data;temperatura_min;temperatura_media;temperatura_max;flag_t;umr_min;umr_media;umr_max;flag_umr;precipitazione;flag_prec;vvento_media;vvento_max;flag_vv;dvento;dvento_set;flag_dv;radsolare_media;radsolare_max;flag_rad;pressione;flag_pres;
2010-01-01 00:00:00;NaN;NaN;NaN;6;NaN;NaN;NaN;6;0.00;5;NaN;NaN;6;NaN;NaN;6;NaN;NaN;6;986.00;5;
2010-01-01 00:30:00;13.75;13.79;13.82;1;83.14;83.37;83.61;1;0.00;1;6.03;10.50;1;186.99;180.00;1;0.00;0.00;1;986.00;1;
2010-01-01 01:00:00;13.69;13.73;13.75;1;83.01;83.46;83.73;1;0.00;1;5.16;9.52;1;185.12;180.00;1;0.00;0.00;1;986.00;1;
2010-01-01 01:30:00;13.63;13.72;13.79;1;82.43;82.97;83.48;1;0.00;1;5.27;8.65;1;183.11;180.00;1;0.00;0.00;1;986.00;1;
2010-01-01 02:00:00;13.64;13.73;13.84;1;81.68;82.51;83.14;1;0.00;1;6.22;9.92;1;175.50;180.00;1;0.00;0.00;1;985.00;1;
2010-01-01 02:30:00;13.86;13.94;14.03;1;79.92;80.87;81.71;1;0.00;1;1.83;9.05;1;132.84;157.50;1;0.00;0.00;1;986.00;1;
2010-01-01 03:00:00;14.03;14.24;14.41;1;76.82;78.76;80.41;1;0.00;1;0.97;2.93;1;335.05;0.00;1;0.00;0.00;1;987.00;1;
2010-01-01 03:30:00;14.03;14.32;14.47;1;74.22;75.53;77.18;1;0.00;1;2.15;4.37;1;200.88;202.50;1;0.00;0.00;1;987.00;1;
2010-01-01 04:00:00;14.07;14.57;14.88;1;68.72;70.76;75.51;1;0.00;1;2.26;8.56;1;204.52;225.00;1;0.00;0.00;1;987.00;1;
2010-01-01 04:30:00;13.80;14.17;15.11;1;65.26;69.31;70.75;1;0.00;1;1.96;5.28;1;218.24;225.00;1;0.00;0.00;1;986.00;1;
2010-01-01 05:00:00;12.87;14.58;15.38;1;61.12;64.09;70.01;1;0.00;1;1.95;4.37;1;194.88;202.50;1;0.00;0.00;1;986.00;1;
2010-01-01 05:30:00;12.56;12.96;13.64;1;70.38;72.32;73.84;1;0.00;1;2.70;5.07;1;170.46;180.00;1;0.00;0.00;1;986.00;1;
2010-01-01 06:00:00;13.65;13.93;14.29;1;61.24;66.36;70.73;1;0.00;1;4.12;7.29;1;196.14;202.50;1;0.00;0.00;1;985.00;1;
2010-01-01 06:30:00;14.09;14.54;14.79;1;57.74;58.59;60.72;1;0.00;1;3.98;7.97;1;206.82;202.50;1;0.00;0.00;1;985.00;1;
2010-01-01 07:00:00;13.42;13.68;14.03;1;60.49;63.07;65.51;1;0.00;1;0.82;1.87;1;133.12;157.50;1;0.00;0.00;1;985.00;1;
2010-01-01 07:30:00;13.79;14.16;14.42;1;58.34;59.81;63.25;1;0.00;1;2.17;4.57;1;202.14;202.50;1;0.00;18.66;1;985.00;1;
2010-01-01 08:00:00;14.11;14.17;14.22;1;58.56;59.07;59.65;1;0.00;1;0.74;2.52;1;199.09;202.50;1;27.23;36.51;1;985.00;1;
2010-01-01 08:30:00;14.26;14.99;15.60;1;53.48;56.61;60.37;1;0.00;1;1.24;3.31;1;175.11;180.00;1;110.36;179.68;1;985.00;1;
2010-01-01 09:00:00;15.52;15.92;16.23;1;52.17;53.29;54.30;1;0.00;1;1.82;3.49;1;203.34;202.50;1;192.57;235.44;1;986.00;1;
