"Tab. 2: Superficie Agricola Utilizzata ""biologica""  sudivisa per macrouso, provincia e sesso. Elaborazione al 31.12.2024";;;;;;;;;;;;;
Macrouso;Provincia di Bari;;Provincia di Brindisi;;Provincia BAT;;Provincia di Foggia;;Provincia di Lecce;;Provincia di Taranto;;Totale
;maschi;femmine;maschi;femmine;maschi;femmine;maschi;femmine;maschi;femmine;maschi;femmine;
Agrumi;5,08;0,08;3,83;11,26;0,11;0;36,6;22,89;45,58;14,28;1.507,65;540,01;2.187,37
Altre arboree;473,48;144,9;171,92;84,01;76,59;54,81;287,93;117,81;184,67;91,12;244,52;40,43;1.972,20
Olivo;19.525,13;6.861,66;9.612,60;4.509,20;5.122,14;1.250,90;11.249,09;5.413,29;12.726,68;6.734,05;6.403,81;2.505,22;91.943,25
Prati e Pascoli;7.967,02;3.409,14;567,12;195,12;1.929,80;1.186,03;7.042,88;2.027,54;1.099,51;576,42;7.048,39;2.102,13;35.151,37
Seminativi;28.693,96;12.124,68;6.153,92;2.915,16;8.192,26;3.391,95;30.936,72;10.977,63;7.713,81;3.977,73;12.102,59;4.470,52;131.654,68
Vite da tavola;692,26;249,21;10,69;1,96;212,57;13,26;154,91;109,99;0,39;0;1.035,70;381,58;2.862,52
Vite da vino;1.711,05;619,79;1.622,38;406,28;1.606,63;401,37;5.158,39;2.339,65;730,79;399,37;2.355,58;1.077,60;18.431,17
Vite;175,47;50,73;156,82;52,75;136,24;21,17;210,57;73,81;66,13;26,9;234,59;58,42;1.263,60
Vivai;1,64;0;0;0;1,49;0;17,71;7,83;6,57;0;9,1;7,86;52,2
Frutti a guscio;4.844,09;1.942,96;283,53;186,89;451,69;215,79;874,04;519,86;64,96;67,51;153,02;146,08;9.750,42
Pesche;55,46;57,74;15,66;15,56;267,75;21,84;471,86;154,08;3,03;0,17;16,45;2,9;1.082,50
Permanenti;221,19;84,01;55,02;30,07;49,02;18,15;193,1;75,6;67,47;40,32;196,73;58,44;1.089,50
Pere;9,78;0,06;0,87;0,48;6,33;0;1,76;1,71;0,99;2,73;5,29;6,69;36,69
Fruttiferi;2.619,14;1.010,32;270,94;57,35;254,34;58,83;924,01;453,68;424,71;238,69;333,26;89,72;6.734,99
Pioppeti;0,87;0,43;0;8,22;0;0;24,04;0;0,19;0;0,61;0;34,36
Orticolo;0;0;0;0;0;0;0;0;0;0;0;0;0
Risaia;0;0,25;0,03;0;0,18;0;0;0;0;0;0;0;0,46
Industriali;0;0;0;0;0;0;0;0;0;0;0;0;0
Foraggero;0;0;0;0;0;0;0;0;0;0;0;0;0
Altra SAU;1.792,99;654,99;180,93;54,75;123,91;54,72;2.436,96;1.049,71;343,26;243,13;1.023,84;261,32;8.220,51
SAU TOTALE;68.788,61;27.210,95;19.106,26;8.529,06;18.431,05;6.688,82;60.020,57;23.345,08;23.478,74;12.412,42;32.671,13;11.748,92;312.431,61
;;;;;;;;;;;;;
"Dati riferiti ad aziende con:
Sede legale in Puglia
Fascicolo aziendale in Puglia
Stato della notifica in uno tra: rilasciata, idonea, pubblicata
Sau pugliese (ha)";;;;;;;;;;;;;
